gene_symbol	chromosome	start	length	color	full_name	days_in_timeframe	recent_timeframe_citation_count	past_timeframe_citation_count	citation_count_delta	significance	recent_gene_rank	past_gene_rank	rank_delta
COX8A	11	63974620	1923	#73af42	cytochrome c oxidase subunit 8A	180	9	0	9		395	10478	-10083
FAM177A1	14	35046244	37139	#73af42	family with sequence similarity 177 member A1	180	9	0	9		395	10478	-10083
CEP89	19	32875925	96033	#73af42	centrosomal protein 89	180	9	0	9		395	10478	-10083
STAG1	3	136336236	416142	#73af42	stromal antigen 1	180	9	0	9		395	10478	-10083
SNTB1	8	120535756	276290	#73af42	syntrophin beta 1	180	9	0	9		395	10478	-10083
DCAF13	8	103415386	28066	#73af42	DDB1 and CUL4 associated factor 13	180	9	0	9		395	10478	-10083
AFTPH	2	64524328	68676	#73af42	aftiphilin	180	9	0	9		395	10478	-10083
SLCO4C1	5	102233986	62298	#73af42	solute carrier organic anion transporter family member 4C1	180	9	0	9		395	10478	-10083
C1orf52	1	85249954	9708	#73af42	chromosome 1 open reading frame 52	180	9	0	9		395	10478	-10083
PODXL	7	131500271	56357	#73af42	podocalyxin like	180	9	0	9		395	10478	-10083
L3MBTL2	22	41205312	25959	#73af42	L3MBTL histone methyl-lysine binding protein 2	180	9	0	9		395	10478	-10083
DNAJC10	2	182716257	78206	#73af42	DnaJ heat shock protein family (Hsp40) member C10	180	9	0	9		395	10478	-10083
AQR	15	34851782	117960	#73af42	aquarius intron-binding spliceosomal factor	180	9	0	9		395	10478	-10083
DNAJC25	9	111631334	23011	#73af42	DnaJ heat shock protein family (Hsp40) member C25	180	9	0	9		395	10478	-10083
GKAP1	9	83739425	78344	#73af42	G kinase anchoring protein 1	180	9	0	9		395	10478	-10083
NGB	14	77265491	5821	#73af42	neuroglobin	180	9	0	9		395	10478	-10083
TANC2	17	62966235	461466	#73af42	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	180	9	0	9		395	10478	-10083
DZIP1	13	95578202	66504	#73af42	DAZ interacting zinc finger protein 1	180	9	0	9		395	10478	-10083
FAM171A1	10	15211645	159644	#73af42	family with sequence similarity 171 member A1	180	9	0	9		395	10478	-10083
QSER1	11	32892811	87457	#73af42	glutamine and serine rich 1	180	9	0	9		395	10478	-10083
TMEM65	8	124310918	61781	#73af42	transmembrane protein 65	180	9	0	9		395	10478	-10083
CALR3	19	16479061	17106	#73af42	calreticulin 3	180	9	0	9		395	10478	-10083
MPDZ	9	13105708	173984	#73af42	multiple PDZ domain crumbs cell polarity complex component	180	9	0	9		395	10478	-10083
RBM19	12	113822057	144268	#73af42	RNA binding motif protein 19	180	8	0	8		1620	10478	-8858
SLC11A2	12	50985992	40392	#73af42	solute carrier family 11 member 2	180	8	0	8		1620	10478	-8858
ELP4	11	31509767	280555	#73af42	elongator acetyltransferase complex subunit 4	180	8	0	8		1620	10478	-8858
TDRP	8	489790	25962	#73af42	testis development related protein	180	8	0	8		1620	10478	-8858
RRAGB	X	55717749	41025	#73af42	Ras related GTP binding B	180	8	0	8		1620	10478	-8858
PRDM15	21	41798225	81119	#73af42	PR/SET domain 15	180	8	0	8		1620	10478	-8858
ADCY3	2	24819170	101067	#73af42	adenylate cyclase 3	180	8	0	8		1620	10478	-8858
EXOC6B	2	72175984	650049	#73af42	exocyst complex component 6B	180	8	0	8		1620	10478	-8858
CELF2	10	11005659	331014	#73af42	CUGBP Elav-like family member 2	180	8	0	8		1620	10478	-8858
DMTN	8	22054907	27618	#73af42	dematin actin binding protein	180	8	0	8		1620	10478	-8858
SORBS1	10	95311773	129407	#73af42	sorbin and SH3 domain containing 1	180	8	0	8		1620	10478	-8858
MMS22L	6	97142161	141055	#73af42	MMS22 like, DNA repair protein	180	8	0	8		1620	10478	-8858
TMEM51	1	15153747	66731	#73af42	transmembrane protein 51	180	8	0	8		1620	10478	-8858
GRIP1	12	66347431	331645	#73af42	glutamate receptor interacting protein 1	180	8	0	8		1620	10478	-8858
PPIP5K1	15	43533462	56791	#73af42	diphosphoinositol pentakisphosphate kinase 1	180	8	0	8		1620	10478	-8858
VPS8	3	184812143	240471	#73af42	VPS8 subunit of CORVET complex	180	8	0	8		1620	10478	-8858
CAPZA3	12	18738119	1069	#73af42	capping actin protein of muscle Z-line subunit alpha 3	180	8	0	8		1620	10478	-8858
ZNF536	19	30228510	485076	#73af42	zinc finger protein 536	180	8	0	8		1620	10478	-8858
ZNF33A	10	38010675	49380	#73af42	zinc finger protein 33A	180	8	0	8		1620	10478	-8858
ZC3H14	14	88563037	64559	#73af42	zinc finger CCCH-type containing 14	180	8	0	8		1620	10478	-8858
ODF2L	1	86346837	49486	#73af42	outer dense fiber of sperm tails 2 like	180	8	0	8		1620	10478	-8858
POGLUT1	3	119468963	25744	#73af42	protein O-glucosyltransferase 1	180	8	0	8		1620	10478	-8858
COBLL1	2	164680188	161635	#73af42	cordon-bleu WH2 repeat protein like 1	180	8	0	8		1620	10478	-8858
ZNF174	16	3401190	3853	#73af42	zinc finger protein 174	180	8	0	8		1620	10478	-8858
CALCOCO1	12	53708518	18934	#73af42	calcium binding and coiled-coil domain 1	180	8	0	8		1620	10478	-8858
CCDC168	13	102729367	29705	#73af42	coiled-coil domain containing 168	180	8	0	8		1620	10478	-8858
CEP57L1	6	109094622	72504	#73af42	centrosomal protein 57 like 1	180	8	0	8		1620	10478	-8858
TXNDC15	5	134873770	27863	#73af42	thioredoxin domain containing 15	180	8	0	8		1620	10478	-8858
SFXN2	10	102714636	28856	#73af42	sideroflexin 2	180	8	0	8		1620	10478	-8858
UNC13B	9	35162009	243329	#73af42	unc-13 homolog B	180	8	0	8		1620	10478	-8858
BNIP2	15	59659146	30174	#73af42	BCL2 interacting protein 2	180	8	0	8		1620	10478	-8858
NEK4	3	52708444	62496	#73af42	NIMA related kinase 4	180	8	0	8		1620	10478	-8858
PLEKHM1	17	143092	37784	#73af42	pleckstrin homology and RUN domain containing M1	180	8	0	8		1620	10478	-8858
CNTLN	9	17135040	33531	#73af42	centlein	180	8	0	8		1620	10478	-8858
FAM219A	9	34398184	60386	#73af42	family with sequence similarity 219 member A	180	8	0	8		1620	10478	-8858
BFSP1	20	17493905	75315	#73af42	beaded filament structural protein 1	180	8	0	8		1620	10478	-8858
ZNF226	19	44165164	12521	#73af42	zinc finger protein 226	180	8	0	8		1620	10478	-8858
LCP1	13	46125923	56254	#73af42	lymphocyte cytosolic protein 1	180	8	0	8		1620	10478	-8858
ATP8A1	4	42408375	248730	#73af42	ATPase phospholipid transporting 8A1	180	8	0	8		1620	10478	-8858
TMEM39A	3	119428949	34666	#73af42	transmembrane protein 39A	180	8	0	8		1620	10478	-8858
GPR108	19	6729914	7388	#73af42	G protein-coupled receptor 108	180	8	0	8		1620	10478	-8858
CABYR	18	24139062	22538	#73af42	calcium binding tyrosine phosphorylation regulated	180	8	0	8		1620	10478	-8858
APBB2	4	40810027	404515	#73af42	amyloid beta precursor protein binding family B member 2	180	8	0	8		1620	10478	-8858
TMEM222	1	27322245	14155	#73af42	transmembrane protein 222	180	8	0	8		1620	10478	-8858
ZNF687	1	151282299	9873	#73af42	zinc finger protein 687	180	8	0	8		1620	10478	-8858
CNN3	1	94896957	30153	#73af42	calponin 3	180	8	0	8		1620	10478	-8858
ZCCHC2	18	62523025	55554	#73af42	zinc finger CCHC-type containing 2	180	8	0	8		1620	10478	-8858
MOB1B	4	70902369	74380	#73af42	MOB kinase activator 1B	180	8	0	8		1620	10478	-8858
PDE8A	15	84981856	157285	#73af42	phosphodiesterase 8A	180	8	0	8		1620	10478	-8858
WIPF3	7	29806554	110512	#73af42	WAS/WASL interacting protein family member 3	180	8	0	8		1620	10478	-8858
NLGN1	3	173584434	709938	#73af42	neuroligin 1	180	8	0	8		1620	10478	-8858
WDR46	6	4522622	10135	#73af42	WD repeat domain 46	180	8	0	8		1620	10478	-8858
SMG1	16	18804853	121551	#73af42	SMG1 nonsense mediated mRNA decay associated PI3K related kinase	180	8	0	8		1620	10478	-8858
DOCK9	13	98793429	184635	#73af42	dedicator of cytokinesis 9	180	8	0	8		1620	10478	-8858
TPRA1	3	127571232	19501	#73af42	transmembrane protein adipocyte associated 1	180	8	0	8		1620	10478	-8858
FGR	1	27612290	13950	#73af42	FGR proto-oncogene, Src family tyrosine kinase	180	8	0	8		1620	10478	-8858
RELCH	18	62187255	122993	#73af42	RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing	180	8	0	8		1620	10478	-8858
RNFT1	17	59952241	12499	#73af42	ring finger protein, transmembrane 1	180	8	0	8		1620	10478	-8858
PRR36	19	7868719	5671	#73af42	proline rich 36	180	8	0	8		1620	10478	-8858
LRRCC1	8	85107238	38841	#73af42	leucine rich repeat and coiled-coil centrosomal protein 1	180	8	0	8		1620	10478	-8858
TMED8	14	77335029	42065	#73af42	transmembrane p24 trafficking protein family member 8	180	8	0	8		1620	10478	-8858
PLEKHA7	11	16777297	237117	#73af42	pleckstrin homology domain containing A7	180	8	0	8		1620	10478	-8858
EVI5	1	92508696	283708	#73af42	ecotropic viral integration site 5	180	8	0	8		1620	10478	-8858
CDR2	16	22345936	28683	#73af42	cerebellar degeneration related protein 2	180	8	0	8		1620	10478	-8858
ANKRD13C	1	70258999	95723	#73af42	ankyrin repeat domain 13C	180	8	0	8		1620	10478	-8858
SUPT3H	6	44826728	551206	#73af42	SPT3 homolog, SAGA and STAGA complex component	180	8	0	8		1620	10478	-8858
MBD1	18	50268846	12928	#73af42	methyl-CpG binding domain protein 1	180	8	0	8		1620	10478	-8858
FLYWCH1	16	2911979	39229	#73af42	FLYWCH-type zinc finger 1	180	8	0	8		1620	10478	-8858
C6orf47	6	2957575	2480	#73af42	chromosome 6 open reading frame 47	180	8	0	8		1620	10478	-8858
KIF13A	6	17759183	228452	#73af42	kinesin family member 13A	180	8	0	8		1620	10478	-8858
DECR2	16	401885	10597	#73af42	2,4-dienoyl-CoA reductase 2	180	8	0	8		1620	10478	-8858
TJAP1	6	43489758	16796	#73af42	tight junction associated protein 1	180	8	0	8		1620	10478	-8858
ZFP1	16	1	2423	#73af42	ZFP1 zinc finger protein	180	8	0	8		1620	10478	-8858
SYDE1	19	15107401	7573	#73af42	synapse defective Rho GTPase homolog 1	180	8	0	8		1620	10478	-8858
CCDC92	12	123935626	37205	#73af42	coiled-coil domain containing 92	180	8	0	8		1620	10478	-8858
FAM219B	15	74899992	6859	#73af42	family with sequence similarity 219 member B	180	8	0	8		1620	10478	-8858
KIAA0040	1	175156986	35790	#73af42	KIAA0040	180	8	0	8		1620	10478	-8858
TEX9	15	56365424	80573	#73af42	testis expressed 9	180	8	0	8		1620	10478	-8858
TBC1D23	3	100260992	64244	#73af42	TBC1 domain family member 23	180	8	0	8		1620	10478	-8858
CEP97	3	101724614	45948	#73af42	centrosomal protein 97	180	8	0	8		1620	10478	-8858
ZNF780A	19	348135	17946	#73af42	zinc finger protein 780A	180	8	0	8		1620	10478	-8858
RC3H1	1	173931084	61988	#73af42	ring finger and CCCH-type domains 1	180	8	0	8		1620	10478	-8858
SYNJ2	6	158017093	82082	#73af42	synaptojanin 2	180	8	0	8		1620	10478	-8858
CCDC66	3	56557156	64664	#73af42	coiled-coil domain containing 66	180	8	0	8		1620	10478	-8858
LIN9	1	226231149	78354	#73af42	lin-9 DREAM MuvB core complex component	180	8	0	8		1620	10478	-8858
RPS6KC1	1	213051233	223541	#73af42	ribosomal protein S6 kinase C1	180	8	0	8		1620	10478	-8858
HACE1	6	104728094	131825	#73af42	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1	180	8	0	8		1620	10478	-8858
ZNF850	19	36743478	29336	#73af42	zinc finger protein 850	180	8	0	8		1620	10478	-8858
TMEM102	17	7435435	2244	#73af42	transmembrane protein 102	180	8	0	8		1620	10478	-8858
LOC441155	6	65301418	4193	#73af42	zinc finger CCCH-type domain-containing-like	180	8	0	8		1620	10478	-8858
NYNRIN	14	24399003	20280	#73af42	NYN domain and retroviral integrase containing	180	8	0	8		1620	10478	-8858
DOP1A	6	83067666	100805	#73af42	DOP1 leucine zipper like protein A	180	8	0	8		1620	10478	-8858
DCTN3	9	34613546	6949	#73af42	dynactin subunit 3	180	8	0	8		1620	10478	-8858
KANSL3	2	96593172	45140	#73af42	KAT8 regulatory NSL complex subunit 3	180	8	0	8		1620	10478	-8858
ZDHHC8	22	20131804	16203	#73af42	zinc finger DHHC-type palmitoyltransferase 8	180	8	0	8		1620	10478	-8858
FAM136A	2	70295976	6091	#73af42	family with sequence similarity 136 member A	180	8	0	8		1620	10478	-8858
ZNF146	19	36214602	24171	#73af42	zinc finger protein 146	180	8	0	8		1620	10478	-8858
SLC9A3R2	16	2026902	12124	#73af42	SLC9A3 regulator 2	180	8	0	8		1620	10478	-8858
ATG2A	11	64894546	22663	#73af42	autophagy related 2A	180	8	0	8		1620	10478	-8858
STRIP2	7	129434432	49199	#73af42	striatin interacting protein 2	180	8	0	8		1620	10478	-8858
ANAPC5	12	121308245	44166	#73af42	anaphase promoting complex subunit 5	180	8	0	8		1620	10478	-8858
MED26	19	16574936	53268	#73af42	mediator complex subunit 26	180	8	0	8		1620	10478	-8858
SLC27A3	1	92108	4750	#73af42	solute carrier family 27 member 3	180	8	0	8		1620	10478	-8858
CABLES1	18	23135763	124707	#73af42	Cdk5 and Abl enzyme substrate 1	180	8	0	8		1620	10478	-8858
MB21D2	3	192796816	121040	#73af42	Mab-21 domain containing 2	180	8	0	8		1620	10478	-8858
RILPL1	12	123470054	63665	#73af42	Rab interacting lysosomal protein like 1	180	8	0	8		1620	10478	-8858
IFT20	17	28328326	7146	#73af42	intraflagellar transport 20	180	8	0	8		1620	10478	-8858
METTL8	2	171315746	119026	#73af42	methyltransferase 8, methylcytidine	180	8	0	8		1620	10478	-8858
