gene_symbol	chromosome	start	length	color	full_name	days_in_timeframe	recent_timeframe_citation_count	prior_timeframe_citation_count	citation_count_delta	significance	recent_gene_rank	prior_gene_rank	rank_delta
Hspa1a	20	4955668	4094	#73af42	heat shock protein family A (Hsp70) member 1A	180	5	0	5		141	670	-529
Slc18a3	16	8682668	2861	#73af42	solute carrier family 18 member A3	180	5	0	5		141	670	-529
Shc1	2	188745503	11563	#73af42	SHC adaptor protein 1	180	5	0	5		141	670	-529
Mir141	4	157236346	93	#73af42	microRNA 141	180	5	0	5		141	670	-529
Ucp2	1	165506375	6369	#73af42	uncoupling protein 2	180	5	0	5		141	670	-529
Actb	12	13715843	2970	#73af42	actin, beta	180	5	0	5		141	670	-529
Rbm20	1	274391932	197884	#73af42	RNA binding motif protein 20	180	5	0	5		141	670	-529
Ubqln2	X	18723313	3419	#73af42	ubiquilin 2	180	5	0	5		141	670	-529
Il13	10	38982909	2557	#73af42	interleukin 13	180	5	0	5		141	670	-529
Rbp4	1	256806476	7202	#73af42	retinol binding protein 4	180	5	0	5		141	670	-529
Chat	16	8576859	109272	#73af42	choline O-acetyltransferase	180	5	0	5		141	670	-529
Abcb1b	4	22225461	81992	#73af42	ATP-binding cassette, subfamily B (MDR/TAP), member 1B	180	5	0	5		141	670	-529
Dlk1	6	133576568	7180	#73af42	delta like non-canonical Notch ligand 1	180	5	0	5		141	670	-529
Atg12	18	40721799	10327	#73af42	autophagy related 12	180	5	0	5		141	670	-529
Atp5if1	5	150719570	3717	#73af42	ATP synthase inhibitory factor subunit 1	180	5	0	5		141	670	-529
Slc16a1	2	207108552	20009	#73af42	solute carrier family 16 member 1	180	5	0	5		141	670	-529
Mcoln1	12	2054680	14002	#73af42	mucolipin TRP cation channel 1	180	5	0	5		141	670	-529
Dusp1	10	16970642	2783	#73af42	dual specificity phosphatase 1	180	5	0	5		141	670	-529
Mir125b1	8	45798260	86	#73af42	microRNA 125b-1	180	5	0	5		141	670	-529
Postn	2	143656845	31242	#73af42	periostin	180	5	0	5		141	670	-529
Mir125b2	11	16097346	87	#73af42	microRNA 125b-2	180	5	0	5		141	670	-529
Mir106b	12	19307752	81	#73af42	microRNA 106b	180	5	0	5		141	670	-529
Dcc	18	66523120	1106681	#73af42	DCC netrin 1 receptor	180	5	0	5		141	670	-529
Fosb	1	80214691	6726	#73af42	FosB proto-oncogene, AP-1 transcription factor subunit	180	5	0	5		141	670	-529
Wasf2	5	151270845	110393	#73af42	WASP family member 2	180	5	0	5		141	670	-529
Capn2	13	100878649	50162	#73af42	calpain 2	180	5	0	5		141	670	-529
Chi3l1	13	51023137	7660	#73af42	chitinase 3 like 1	180	4	0	4		238	670	-432
Panx1	8	13567186	38854	#73af42	Pannexin 1	180	4	0	4		238	670	-432
Far1	1	178364154	45514	#73af42	fatty acyl CoA reductase 1	180	4	0	4		238	670	-432
Tgm2	3	154597166	30091	#73af42	transglutaminase 2	180	4	0	4		238	670	-432
Btla	11	60525934	21063	#73af42	B and T lymphocyte associated	180	4	0	4		238	670	-432
Smarcc1	8	118206703	117485	#73af42	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	180	4	0	4		238	670	-432
Mmp3	8	5676608	21971	#73af42	matrix metallopeptidase 3	180	4	0	4		238	670	-432
Nr4a2	3	43111936	5470	#73af42	nuclear receptor subfamily 4, group A, member 2	180	4	0	4		238	670	-432
Id2	6	44360077	1831	#73af42	inhibitor of DNA binding 2	180	4	0	4		238	670	-432
Fgf10	2	51673480	74053	#73af42	fibroblast growth factor 10	180	4	0	4		238	670	-432
Mir207	5	57028859	77	#73af42	microRNA 207	180	4	0	4		238	670	-432
Bmp7	3	170879972	75848	#73af42	bone morphogenetic protein 7	180	4	0	4		238	670	-432
Il17a	9	26841299	3487	#73af42	interleukin 17A	180	4	0	4		238	670	-432
Vamp2	10	55675537	3868	#73af42	vesicle-associated membrane protein 2	180	4	0	4		238	670	-432
Dlg4	10	56627547	26054	#73af42	discs large MAGUK scaffold protein 4	180	4	0	4		238	670	-432
Slc39a8	2	241029669	62720	#73af42	solute carrier family 39 member 8	180	4	0	4		238	670	-432
Pmp22	10	49538588	29994	#73af42	peripheral myelin protein 22	180	4	0	4		238	670	-432
Lonp1	9	10428853	12326	#73af42	lon peptidase 1, mitochondrial	180	3	0	3		269	670	-401
Wwox	19	46761469	296879	#73af42	WW domain-containing oxidoreductase	180	3	0	3		269	670	-401
Hif1a	6	96811185	44865	#73af42	hypoxia inducible factor 1 subunit alpha	180	9	6	3		5	189	-184
Cdk2	7	3124953	7504	#73af42	cyclin dependent kinase 2	180	7	4	3		12	604	-592
Taar9	1	22319353	1016	#73af42	trace amine-associated receptor 9	180	3	0	3		269	670	-401
Kras	4	179486608	25863	#73af42	KRAS proto-oncogene, GTPase	180	7	5	2		12	419	-407
Trpc6	8	6811543	105991	#73af42	transient receptor potential cation channel, subfamily C, member 6	180	6	4	2		47	604	-557
Gfap	10	90990762	8673	#73af42	glial fibrillary acidic protein	180	7	5	2		12	419	-407
Kdr	14	34727677	59449	#73af42	kinase insert domain receptor	180	5	3	2		141	669	-528
Trpa1	5	3783247	53238	#73af42	transient receptor potential cation channel, subfamily A, member 1	180	7	5	2		12	419	-407
Yap1	8	6135542	68037	#73af42	Yes1 associated transcriptional regulator	180	8	6	2		9	189	-180
Rac1	12	13090372	20220	#73af42	Rac family small GTPase 1	180	5	3	2		141	669	-528
Trem1	9	14727887	11061	#73af42	triggering receptor expressed on myeloid cells 1	180	6	4	2		47	604	-557
Il1b	3	121876259	6378	#73af42	interleukin 1 beta	180	10	8	2		2	27	-25
Cybb	X	14578330	31719	#73af42	cytochrome b-245 beta chain	180	7	5	2		12	419	-407
Gcg	3	48442635	9015	#73af42	glucagon	180	6	4	2		47	604	-557
Nfib	5	100439080	208218	#73af42	nuclear factor I/B	180	6	5	1		47	419	-372
Mir874	17	7025014	75	#73af42	microRNA 874	180	6	5	1		47	419	-372
Ntrk2	17	6114598	130029	#73af42	neurotrophic receptor tyrosine kinase 2	180	7	6	1		12	189	-177
Ccn2	1	21851658	3115	#73af42	cellular communication network factor 2	180	6	5	1		47	419	-372
Tgfb1	1	82480875	16321	#73af42	transforming growth factor, beta 1	180	10	9	1		2	18	-16
Tnf	20	4855829	2617	#73af42	tumor necrosis factor	180	9	8	1		5	27	-22
Oprk1	5	13742656	17804	#73af42	opioid receptor, kappa 1	180	7	6	1		12	189	-177
Txnrd1	7	26946124	77765	#73af42	thioredoxin reductase 1	180	7	6	1		12	189	-177
Avp	3	123117482	1978	#73af42	arginine vasopressin	180	7	6	1		12	189	-177
Smad2	18	72550219	61859	#73af42	SMAD family member 2	180	6	5	1		47	419	-372
Scn5a	8	128169191	97448	#73af42	sodium voltage-gated channel alpha subunit 5	180	5	4	1		141	604	-463
Tmprss2	11	38063914	39407	#73af42	transmembrane serine protease 2	180	6	5	1		47	419	-372
Wwtr1	2	147577149	115884	#73af42	WW domain containing transcription regulator 1	180	7	6	1		12	189	-177
Mapt	10	92289002	97513	#73af42	microtubule-associated protein tau	180	6	5	1		47	419	-372
Adam17	6	43400521	47759	#73af42	ADAM metallopeptidase domain 17	180	6	5	1		47	419	-372
Trpm7	3	119258189	88895	#73af42	transient receptor potential cation channel, subfamily M, member 7	180	6	5	1		47	419	-372
Sirt3	1	213613506	22006	#73af42	sirtuin 3	180	6	5	1		47	419	-372
Vom2r3	1	396700	12976	#73af42	vomeronasal 2 receptor, 3	180	0	0	0		270	670	-400
Rab39a	8	58275984	17011	#73af42	RAB39A, member RAS oncogene family	180	0	0	0		270	670	-400
Fdxacb1	8	55196758	4441	#73af42	ferredoxin-fold anticodon binding domain containing 1	180	0	0	0		270	670	-400
Mrpl52	15	33069553	3224	#73af42	mitochondrial ribosomal protein L52	180	0	0	0		270	670	-400
Rrlt	1	1101965	14961	#73af42	similar to retinoic acid early transcript 1L	180	0	0	0		270	670	-400
Ensa	2	197752544	7338	#73af42	endosulfine alpha	180	0	0	0		270	670	-400
Tpm1	8	72816316	25180	#73af42	tropomyosin 1	180	0	0	0		270	670	-400
Efhd2	5	160407777	16034	#73af42	EF-hand domain family, member D2	180	0	0	0		270	670	-400
Aaas	7	143937199	19469	#73af42	aladin WD repeat nucleoporin	180	0	0	0		270	670	-400
Nsun4	5	134362680	20114	#73af42	NOP2/Sun RNA methyltransferase 4	180	0	0	0		270	670	-400
Ubl4a	X	156340919	2852	#73af42	ubiquitin-like 4A	180	0	0	0		270	670	-400
Otub1	1	222451674	8278	#73af42	OTU deubiquitinase, ubiquitin aldehyde binding 1	180	0	0	0		270	670	-400
Slc25a41	9	10004844	7695	#73af42	solute carrier family 25, member 41	180	0	0	0		270	670	-400
Bach1	11	27365195	33332	#73af42	BTB domain and CNC homolog 1	180	0	0	0		270	670	-400
Ccr1l1	8	133127220	1070	#73af42	chemokine (C-C motif) receptor 1-like 1	180	0	0	0		270	670	-400
Xcr1	8	132911476	7634	#73af42	X-C motif chemokine receptor 1	180	0	0	0		270	670	-400
Csf3	10	86616785	2374	#73af42	colony stimulating factor 3	180	0	0	0		270	670	-400
Eloa	5	154348167	15157	#73af42	elongin A	180	0	0	0		270	670	-400
Cox4i1	19	54245958	6240	#73af42	cytochrome c oxidase subunit 4i1	180	0	0	0		270	670	-400
Arg1	1	21525421	12449	#73af42	arginase 1	180	0	0	0		270	670	-400
Thbs4	2	22343727	42128	#73af42	thrombospondin 4	180	0	0	0		270	670	-400
Rcn2	8	60709851	17087	#73af42	reticulocalbin 2	180	0	0	0		270	670	-400
Neu2	9	94721682	3216	#73af42	neuraminidase 2	180	0	0	0		270	670	-400
Inhba	17	51899146	13277	#73af42	inhibin subunit beta A	180	0	0	0		270	670	-400
Fdx1	8	56373729	19470	#73af42	ferredoxin 1	180	0	0	0		270	670	-400
Cd63	7	3332788	2791	#73af42	Cd63 molecule	180	0	0	0		270	670	-400
Cyp2b12	1	83511167	103399	#73af42	cytochrome P450, family 2, subfamily b, polypeptide 12	180	0	0	0		270	670	-400
Vdr	7	139344452	49686	#73af42	vitamin D receptor	180	0	0	0		270	670	-400
Tnp2	10	4953898	728	#73af42	transition protein 2	180	0	0	0		270	670	-400
Tnp1	9	80294838	608	#73af42	transition protein 1	180	0	0	0		270	670	-400
Tbxa2r	7	11253180	4797	#73af42	thromboxane A2 receptor	180	0	0	0		270	670	-400
Cd37	1	101230477	5156	#73af42	CD37 molecule	180	0	0	0		270	670	-400
Areg	14	18521930	9249	#73af42	amphiregulin	180	0	0	0		270	670	-400
Casp12	8	2658892	27268	#73af42	caspase 12	180	0	0	0		270	670	-400
Anxa7	15	4254499	26790	#73af42	annexin A7	180	0	0	0		270	670	-400
Slco1a2		175969549	56614	#73af42		180	0	0	0		-1	-1	-1
Acsl6	10	39666991	48990	#73af42	acyl-CoA synthetase long-chain family member 6	180	0	0	0		270	670	-400
Naa35	17	5411501	52397	#73af42	N(alpha)-acetyltransferase 35, NatC auxiliary subunit	180	0	0	0		270	670	-400
Atp2b3	X	157239306	72722	#73af42	ATPase plasma membrane Ca2+ transporting 3	180	0	0	0		270	670	-400
Mir3580	X	151295615	80	#73af42	microRNA 3580	180	0	0	0		270	670	-400
Mir3579	6	133860473	112	#73af42	microRNA 3579	180	0	0	0		270	670	-400
Mir3578	6	133893672	116	#73af42	microRNA 3578	180	0	0	0		270	670	-400
Mir3581	6	133893418	79	#73af42	microRNA 3581	180	0	0	0		270	670	-400
Asb1	9	98668231	16669	#73af42	ankyrin repeat and SOCS box-containing 1	180	0	0	0		270	670	-400
Fgfr2	1	200590951	105977	#73af42	fibroblast growth factor receptor 2	180	0	0	0		270	670	-400
Brsk1	1	72701680	25381	#73af42	BR serine/threonine kinase 1	180	0	0	0		270	670	-400
Preb	6	26784088	3787	#73af42	prolactin regulatory element binding	180	0	0	0		270	670	-400
Zfp7	7	118488498	5149	#73af42	zinc finger protein 7	180	0	0	0		270	670	-400
Cldn15	12	22739324	9338	#73af42	claudin 15	180	0	0	0		270	670	-400
Fgd3	17	15749963	48881	#73af42	FYVE, RhoGEF and PH domain containing 3	180	0	0	0		270	670	-400
Pbx4	16	21303837	34934	#73af42	PBX homeobox 4	180	0	0	0		270	670	-400
Nol8	17	15405831	23597	#73af42	nucleolar protein 8	180	0	0	0		270	670	-400
B4galt5	3	164039731	15830	#73af42	beta-1,4-galactosyltransferase 5	180	0	0	0		270	670	-400
Scp2d1	3	138974871	750	#73af42	SCP2 sterol-binding domain containing 1	180	0	0	0		270	670	-400
Polr3f	3	138684685	16370	#73af42	RNA polymerase III subunit F	180	0	0	0		270	670	-400
Smc2	5	68717629	46230	#73af42	structural maintenance of chromosomes 2	180	0	0	0		270	670	-400
Ephx3	7	14212470	5308	#73af42	epoxide hydrolase 3	180	0	0	0		270	670	-400
Cbfa2t3	19	55441572	68888	#73af42	CBFA2/RUNX1 partner transcriptional co-repressor 3	180	0	0	0		270	670	-400
Plec	7	117230319	28822	#73af42	plectin	180	0	0	0		270	670	-400
Nipsnap3a	5	69809535	10735	#73af42	nipsnap homolog 3A (C. elegans)	180	0	0	0		270	670	-400
Strn4	1	78739930	25766	#73af42	striatin 4	180	0	0	0		270	670	-400
Hmg20a	8	61080103	77508	#73af42	high mobility group 20A	180	0	0	0		270	670	-400
Smim22	10	10766208	1181	#73af42	small integral membrane protein 22	180	0	0	0		270	670	-400
Samd3	1	20127921	28039	#73af42	sterile alpha motif domain containing 3	180	0	0	0		270	670	-400
Shcbp1l	13	70852044	30292	#73af42	SHC binding and spindle associated 1 like	180	0	0	0		270	670	-400
Ube2s	1	72580424	4062	#73af42	ubiquitin-conjugating enzyme E2S	180	0	0	0		270	670	-400
Prpf31	1	64150786	11675	#73af42	pre-mRNA processing factor 31	180	0	0	0		270	670	-400
Lrrtm3	20	25990304	173352	#73af42	leucine rich repeat transmembrane neuronal 3	180	0	0	0		270	670	-400
Mrpl51	4	157705790	2958	#73af42	mitochondrial ribosomal protein L51	180	0	0	0		270	670	-400
Fam24a	1	201913148	2204	#73af42	family with sequence similarity 24, member A	180	0	0	0		270	670	-400
Fam185a	4	10213679	56320	#73af42	family with sequence similarity 185, member A	180	0	0	0		270	670	-400
Msmo1	16	26859441	16439	#73af42	methylsterol monooxygenase 1	180	0	0	0		270	670	-400
Vom2r32	1	67819056	34526	#73af42	vomeronasal 2 receptor, 32	180	0	0	0		270	670	-400
Tcta	8	117079094	3068	#73af42	T-cell leukemia translocation altered	180	0	0	0		270	670	-400
Dgka	7	3143826	26320	#73af42	diacylglycerol kinase, alpha	180	0	0	0		270	670	-400
LOC361985	2	189400696	12916	#73af42	similar to NICE-3	180	0	0	0		270	670	-400
Cdk5rap1	3	149835954	34451	#73af42	CDK5 regulatory subunit associated protein 1	180	0	0	0		270	670	-400
Nr1d1	10	86683875	6940	#73af42	nuclear receptor subfamily 1, group D, member 1	180	0	0	0		270	670	-400
Prl3a1	17	42723745	16276	#73af42	Prolactin family 3, subfamily a, member 1	180	0	0	0		270	670	-400
Rwdd1	20	27535324	16901	#73af42	RWD domain containing 1	180	0	0	0		270	670	-400
Pzp	4	161804794	46070	#73af42	pregnancy-zone protein	180	0	0	0		270	670	-400
Zfp709	16	19634134	9137	#73af42	zinc finger protein 709	180	0	0	0		270	670	-400
Tnfsf10	2	113008324	16471	#73af42	TNF superfamily member 10	180	0	0	0		270	670	-400
Slc25a25	3	11442396	10133	#73af42	solute carrier family 25 member 25	180	0	0	0		270	670	-400
Brs3	X	159505232	4378	#73af42	bombesin receptor subtype 3	180	0	0	0		270	670	-400
Timm13	7	11677340	1103	#73af42	translocase of inner mitochondrial membrane 13	180	0	0	0		270	670	-400
Gja8	2	199050854	1616	#73af42	gap junction protein, alpha 8	180	0	0	0		270	670	-400
Dhrs4	15	34155504	11569	#73af42	dehydrogenase/reductase 4	180	0	0	0		270	670	-400
Homez	15	33510458	16573	#73af42	homeobox and leucine zipper encoding	180	0	0	0		270	670	-400
Olfm3	2	217963376	41867	#73af42	olfactomedin 3	180	0	0	0		270	670	-400
St18	5	12439234	124195	#73af42	ST18 C2H2C-type zinc finger transcription factor	180	0	0	0		270	670	-400
Pnma2	15	43582020	7660	#73af42	PNMA family member 2	180	0	0	0		270	670	-400
Anapc2	3	2490538	11709	#73af42	anaphase promoting complex subunit 2	180	0	0	0		270	670	-400
Cd300le	10	103581384	9223	#73af42	Cd300 molecule-like family member E	180	0	0	0		270	670	-400
Rnpep	13	52092866	18371	#73af42	arginyl aminopeptidase	180	0	0	0		270	670	-400
Rps10	20	7215732	4609	#73af42	ribosomal protein S10	180	0	0	0		270	670	-400
Crhr1	10	92191473	42189	#73af42	corticotropin releasing hormone receptor 1	180	0	0	0		270	670	-400
Lilrb4	1	73394075	5302	#73af42	leukocyte immunoglobulin like receptor B4	180	0	0	0		270	670	-400
Olfm1	3	6773813	24924	#73af42	olfactomedin 1	180	0	0	0		270	670	-400
Slc4a4	14	20480128	336460	#73af42	solute carrier family 4 member 4	180	0	0	0		270	670	-400
Psmb7	3	22890072	61646	#73af42	proteasome 20S subunit beta 7	180	0	0	0		270	670	-400
Herpud1	19	11046907	10347	#73af42	homocysteine inducible ER protein with ubiquitin like domain 1	180	0	0	0		270	670	-400
Cox4i2	3	148234546	10872	#73af42	cytochrome c oxidase subunit 4i2	180	0	0	0		270	670	-400
Fut9	5	40032855	204736	#73af42	fucosyltransferase 9	180	0	0	0		270	670	-400
Bnip3	1	211248098	17184	#73af42	BCL2 interacting protein 3	180	0	0	0		270	670	-400
Mlycd	19	52032950	15823	#73af42	malonyl-CoA decarboxylase	180	0	0	0		270	670	-400
Bud31	12	11232963	7403	#73af42	BUD31 homolog	180	0	0	0		270	670	-400
Ddx52	10	71253667	22730	#73af42	DExD-box helicase 52	180	0	0	0		270	670	-400
Hdac2	20	43084870	23328	#73af42	histone deacetylase 2	180	0	0	0		270	670	-400
