#name	chromosome	start	length	color	full_name	days_in_timeframe	recent_timeframe_citation_count	past_timeframe_citation_count	citation_count_delta	significance	recent_gene_rank	past_gene_rank	rank_delta
ESR1	1	42140418	276732	#73af42	estrogen receptor 1	180	0	0	0		7	37	-30
OPRM1	1	44023836	64554	#73af42	opioid receptor mu 1	180	0	0	0		7	37	-30
MIR8873B	1	44495461	144	#73af42	microRNA mir-8873b	180	0	0	0		7	37	-30
NOX3	1	45181678	57989	#73af42	NADPH oxidase 3	180	0	0	0		7	37	-30
NACA	10	59530245	823	#73af42	nascent polypeptide associated complex subunit alpha	180	0	0	0		7	37	-30
EZR	1	48223100	49844	#73af42	ezrin	180	0	0	0		7	37	-30
MIR1836	1	49097669	56	#73af42	microRNA mir-1836	180	0	0	0		7	37	-30
MAS1	1	49156624	15186	#73af42	MAS1 proto-oncogene, G protein-coupled receptor	180	0	0	0		7	37	-30
IGF2R	1	49227935	99594	#73af42	insulin like growth factor 2 receptor	180	0	0	0		7	37	-30
SLC22A2	1	49395180	20813	#73af42	solute carrier family 22 member 2	180	0	0	0		7	37	-30
PLG	1	49564853	38025	#73af42	plasminogen	180	0	0	0		7	37	-30
QKI	1	51867832	155275	#73af42	QKI, KH domain containing RNA binding	180	0	0	0		7	37	-30
TBXT	1	54257349	8840	#73af42	T-box transcription factor T	180	0	0	0		7	37	-30
MIR8799C	10	63188857	254	#73af42	microRNA mir-8799c	180	0	0	0		7	37	-30
SMOC2	1	55906584	158597	#73af42	SPARC related modular calcium binding 2	180	0	0	0		7	37	-30
THBS2	1	56481256	27175	#73af42	thrombospondin 2	180	0	0	0		7	37	-30
PLN	1	58664392	11386	#73af42	phospholamban	180	0	0	0		7	37	-30
TRDN	1	62540446	359330	#73af42	triadin	180	0	0	0		7	37	-30
ARHGAP18	1	68278032	118881	#73af42	Rho GTPase activating protein 18	180	0	0	0		7	37	-30
MIR24-1	1	71793372	61	#73af42	microRNA mir-24-1	180	0	0	0		7	37	-30
MIR27B	1	71793881	62	#73af42	microRNA mir-27b	180	0	0	0		7	37	-30
MIR23B	1	71794117	53	#73af42	microRNA mir-23b	180	0	0	0		7	37	-30
DAPK1	1	72395534	167754	#73af42	death associated protein kinase 1	180	0	0	0		7	37	-30
HNRNPK	1	75615073	11621	#73af42	heterogeneous nuclear ribonucleoprotein K	180	0	0	0		7	37	-30
MIR7-1	1	75625031	63	#73af42	microRNA mir-7-1	180	0	0	0		7	37	-30
GNAQ	1	80931602	194510	#73af42	G protein subunit alpha q	180	0	0	0		7	37	-30
ANXA1	1	84963509	18782	#73af42	annexin A1	180	0	0	0		7	37	-30
ALDH1A1	1	85159477	54340	#73af42	aldehyde dehydrogenase 1 family member A1	180	0	0	0		7	37	-30
MIR204	1	87031968	59	#73af42	microRNA mir-204	180	0	0	0		7	37	-30
TJP2	1	88329360	103728	#73af42	tight junction protein 2	180	0	0	0		7	37	-30
FXN	1	88490664	22477	#73af42	frataxin	180	0	0	0		7	37	-30
CBWD1	1	89259543	57678	#73af42	COBW domain containing 1	180	0	0	0		7	37	-30
VLDLR	1	91433922	30436	#73af42	very low density lipoprotein receptor	180	0	0	0		7	37	-30
SLC1A1	1	93083822	79988	#73af42	solute carrier family 1 member 1	180	0	0	0		7	37	-30
MIR101-2	1	93380331	54	#73af42	microRNA mir-101-2	180	0	0	0		7	37	-30
RLN2	1	93686709	4415	#73af42	relaxin 2	180	0	0	0		7	37	-30
MIRLET7D	1	98134696	124	#73af42	microRNA let-7d	180	0	0	0		7	37	-30
MIRLET7F	1	98136615	77	#73af42	microRNA let-7f	180	0	0	0		7	37	-30
MIR8893	1	98834109	116	#73af42	microRNA mir-8893	180	0	0	0		7	37	-30
UBE2S	1	102573699	4292	#73af42	ubiquitin conjugating enzyme E2 S	180	0	0	0		7	37	-30
TMEM190	1	102601049	1233	#73af42	transmembrane protein 190	180	0	0	0		7	37	-30
TNNI3	1	102765644	3173	#73af42	troponin I3, cardiac type	180	0	0	0		7	37	-30
NCR1	1	102972307	4291	#73af42	natural cytotoxicity triggering receptor 1	180	0	0	0		7	37	-30
PRPF31	1	103356788	17073	#73af42	pre-mRNA processing factor 31	180	0	0	0		7	37	-30
MIR371	1	103693306	59	#73af42	microRNA mir-371	180	0	0	0		7	37	-30
ZNF331	1	103797726	14027	#73af42	zinc finger protein 331	180	0	0	0		7	37	-30
VN1R4	1	103841645	950	#73af42	vomeronasal 1 receptor 4	180	0	0	0		7	37	-30
MIR8891	1	104966842	142	#73af42	microRNA mir-8891	180	0	0	0		7	37	-30
MIR125A	1	105582422	59	#73af42	microRNA mir-125a	180	0	0	0		7	37	-30
MIRLET7E	1	105582889	66	#73af42	microRNA let-7e	180	0	0	0		7	37	-30
MIR99B	1	105583074	59	#73af42	microRNA mir-99b	180	0	0	0		7	37	-30
KLK14	1	105993029	4400	#73af42	kallikrein related peptidase 14	180	0	0	0		7	37	-30
KLK10	1	106041216	3277	#73af42	kallikrein related peptidase 10	180	0	0	0		7	37	-30
KLK9	1	106048402	4995	#73af42	kallikrein related peptidase 9	180	0	0	0		7	37	-30
KLK8	1	106055527	5456	#73af42	kallikrein related peptidase 8	180	0	0	0		7	37	-30
KLK7	1	106071917	3123	#73af42	kallikrein related peptidase 7	180	0	0	0		7	37	-30
KLK6	1	106082387	7616	#73af42	kallikrein related peptidase 6	180	0	0	0		7	37	-30
KLK5	1	106096877	7817	#73af42	kallikrein related peptidase 5	180	0	0	0		7	37	-30
KLK4	1	106134079	3475	#73af42	kallikrein related peptidase 4	180	0	0	0		7	37	-30
KLK2	1	106163839	3235	#73af42	kallikrein-related peptidase 2	180	0	0	0		7	37	-30
KLK1	1	106208615	4282	#73af42	kallikrein 1	180	0	0	0		7	37	-30
LOC102154339	1	106243695	429	#73af42	uncharacterized LOC102154339	180	0	0	0		7	37	-30
MIR150	1	107191868	56	#73af42	microRNA mir-150	180	0	0	0		7	37	-30
RPS11	1	107193377	2792	#73af42	ribosomal protein S11	180	0	0	0		7	37	-30
RPL13A	1	107203302	4078	#73af42	ribosomal protein L13a	180	0	0	0		7	37	-30
FLT3LG	1	107208335	9484	#73af42	fms related receptor tyrosine kinase 3 ligand	180	0	0	0		7	37	-30
MIR8890	1	107314785	134	#73af42	microRNA mir-8890	180	0	0	0		7	37	-30
NTF4	1	107563703	5695	#73af42	neurotrophin 4	180	0	0	0		7	37	-30
LHB	1	107575256	1172	#73af42	luteinizing hormone subunit beta	180	0	0	0		7	37	-30
FTL	1	107610673	1463	#73af42	ferritin light chain	180	0	0	0		7	37	-30
BAX	1	107614952	3677	#73af42	BCL2 associated X, apoptosis regulator	180	0	0	0		7	37	-30
DHDH	1	107626518	10705	#73af42	dihydrodiol dehydrogenase	180	0	0	0		7	37	-30
HSD17B14	1	107709599	18830	#73af42	hydroxysteroid 17-beta dehydrogenase 14	180	0	0	0		7	37	-30
RPL18	1	107880621	4493	#73af42	ribosomal protein L18	180	0	0	0		7	37	-30
ELSPBP1	1	108330509	27479	#73af42	epididymal sperm binding protein 1	180	0	0	0		7	37	-30
CRX	1	108443942	11041	#73af42	cone-rod homeobox	180	0	0	0		7	37	-30
SELENOW	1	108479650	4112	#73af42	selenoprotein W	180	0	0	0		7	37	-30
C5AR1	1	108852877	15736	#73af42	complement C5a receptor 1	180	0	0	0		7	37	-30
ARHGAP35	1	109144989	139716	#73af42	Rho GTPase activating protein 35	180	0	0	0		7	37	-30
SLC1A5	1	109353817	10907	#73af42	solute carrier family 1 member 5	180	0	0	0		7	37	-30
MIR769	1	109825096	140	#73af42	microRNA mir-769	180	0	0	0		7	37	-30
SNRPD2	1	110100067	5466	#73af42	small nuclear ribonucleoprotein D2 polypeptide	180	0	0	0		7	37	-30
MIR330	1	110130892	88	#73af42	microRNA mir-330	180	0	0	0		7	37	-30
VASP	1	110258575	12699	#73af42	vasodilator stimulated phosphoprotein	180	0	0	0		7	37	-30
FOSB	1	110297099	4132	#73af42	FosB proto-oncogene, AP-1 transcription factor subunit	180	0	0	0		7	37	-30
CKM	1	110416843	8779	#73af42	creatine kinase, M-type	180	0	0	0		7	37	-30
APOC2	1	110709344	1080	#73af42	apolipoprotein C2	180	0	0	0		7	37	-30
APOC1	1	110724596	2390	#73af42	apolipoprotein C1	180	0	0	0		7	37	-30
CEACAM16	1	110857177	7763	#73af42	CEA cell adhesion molecule 16, tectorial membrane component	180	0	0	0		7	37	-30
LOC476445	1	111640677	3138	#73af42	interferon-inducible GTPase 5-like	180	0	0	0		7	37	-30
XRCC1	1	111746938	23277	#73af42	X-ray repair cross complementing 1	180	0	0	0		7	37	-30
CEACAM23	1	111908529	18010	#73af42	carcinoembryonic antigen-related cell adhesion molecule 23	180	0	0	0		7	37	-30
CAECAM1	1	111943403	10881	#73af42	carcinoembryonic antigen-related cell adhesion molecule 25	180	0	0	0		7	37	-30
CEACAM28	1	111986327	22405	#73af42	carcinoembryonic antigen-related cell adhesion molecule 28	180	0	0	0		7	37	-30
CEACAM30	Un	111986332	22388	#73af42	carcinoembryonic antigen-related cell adhesion molecule 30	180	0	0	0		7	37	-30
CEACAM1	1	112069540	14912	#73af42	CEA cell adhesion molecule 1	180	0	0	0		7	37	-30
GRIK5	1	112443154	51442	#73af42	glutamate ionotropic receptor kainate type subunit 5	180	0	0	0		7	37	-30
RABAC1	1	112524256	2586	#73af42	Rab acceptor 1	180	0	0	0		7	37	-30
CD79A	1	112588584	3545	#73af42	CD79a molecule	180	0	0	0		7	37	-30
TGFB1	1	112788742	14086	#73af42	transforming growth factor beta 1	180	0	0	0		7	37	-30
CYP2B6	1	112976144	15547	#73af42	cytochrome P450 2B11	180	0	0	0		7	37	-30
CYP2A7	1	113058524	6231	#73af42	cytochrome P450, family 2, subfamily A, polypeptide 7	180	0	0	0		7	37	-30
CYP2A13	1	890	5997	#73af42	cytochrome P450 family 2 subfamily A polypeptide 13	180	0	0	0		7	37	-30
RAB4B	1	113161162	8625	#73af42	RAB4B, member RAS oncogene family	180	0	0	0		7	37	-30
MIR8892	1	113189538	124	#73af42	microRNA mir-8892	180	0	0	0		7	37	-30
AKT2	1	113546597	17917	#73af42	AKT serine/threonine kinase 2	180	0	0	0		7	37	-30
CANFAMV1R558	1	113652245	909	#73af42	vomeronasal 1 receptor canFamV1R558	180	0	0	0		7	37	-30
LGALS4	1	114452735	7752	#73af42	galectin 4	180	0	0	0		7	37	-30
SPINT2	1	114873736	28536	#73af42	serine peptidase inhibitor, Kunitz type 2	180	0	0	0		7	37	-30
TYROBP	1	116924025	3164	#73af42	transmembrane immune signaling adaptor TYROBP	180	0	0	0		7	37	-30
PRODH2	1	116998294	10723	#73af42	proline dehydrogenase 2	180	0	0	0		7	37	-30
PSENEN	1	117053507	1289	#73af42	presenilin enhancer, gamma-secretase subunit	180	0	0	0		7	37	-30
ATP4A	1	117267860	12174	#73af42	ATPase H+/K+ transporting subunit alpha	180	0	0	0		7	37	-30
KRTDAP	1	117330438	3191	#73af42	keratinocyte differentiation associated protein	180	0	0	0		7	37	-30
HAMP	1	117468198	1056	#73af42	hepcidin antimicrobial peptide	180	0	0	0		7	37	-30
FXYD1	1	117596446	4343	#73af42	FXYD domain containing ion transport regulator 1	180	0	0	0		7	37	-30
SCN1B	1	117664457	7841	#73af42	sodium voltage-gated channel beta subunit 1	180	0	0	0		7	37	-30
RHPN2	1	119225721	57792	#73af42	rhophilin Rho GTPase binding protein 2	180	0	0	0		7	37	-30
SLC7A9	1	119370036	23156	#73af42	solute carrier family 7 member 9	180	0	0	0		7	37	-30
MIR578	1	122631482	68	#73af42	microRNA mir-578	180	0	0	0		7	37	-30
PMEL	10	277211	7506	#73af42	premelanosome protein	180	0	0	0		7	37	-30
MIP	10	688154	4041	#73af42	major intrinsic protein of lens fiber	180	0	0	0		7	37	-30
TAC3	10	1158694	22099	#73af42	tachykinin precursor 3	180	0	0	0		7	37	-30
STAT6	10	1220880	9472	#73af42	signal transducer and activator of transcription 6	180	0	0	0		7	37	-30
MIR26A-2	10	1866978	59	#73af42	microRNA mir-26a-2	180	0	0	0		7	37	-30
AVPR1A	10	6244666	3444	#73af42	arginine vasopressin receptor 1A	180	0	0	0		7	37	-30
MDM2	10	10928429	25537	#73af42	MDM2 proto-oncogene	180	0	0	0		7	37	-30
LYZ	10	11337085	4134	#73af42	lysozyme	180	0	0	0		7	37	-30
TPH2	10	13440095	83591	#73af42	tryptophan hydroxylase 2	180	0	0	0		7	37	-30
ARSA	10	17142642	2419	#73af42	arylsulfatase A	180	0	0	0		7	37	-30
SELENOO	10	17476153	7891	#73af42	selenoprotein O	180	0	0	0		7	37	-30
PPARA	10	20394545	65633	#73af42	peroxisome proliferator activated receptor alpha	180	0	0	0		7	37	-30
MIRLET7B	10	20487244	84	#73af42	microRNA let-7b	180	0	0	0		7	37	-30
MIRLET7A-1	10	20488175	68	#73af42	microRNA let-7a-1	180	0	0	0		7	37	-30
MIR1249	10	21274289	138	#73af42	microRNA mir-1249	180	0	0	0		7	37	-30
ARHGAP8	10	21542534	47759	#73af42	Rho GTPase activating protein 8	180	0	0	0		7	37	-30
PRR5	10	21622130	26022	#73af42	proline rich 5	180	0	0	0		7	37	-30
MIR8829	10	23708539	124	#73af42	microRNA mir-8829	180	0	0	0		7	37	-30
CYP2D15	10	23717484	3948	#73af42	cytochrome P450 2D	180	0	0	0		7	37	-30
MIR33A	10	23918597	60	#73af42	microRNA mir-33a	180	0	0	0		7	37	-30
ST13	10	24842961	31633	#73af42	ST13 Hsp70 interacting protein	180	0	0	0		7	37	-30
MCHR1	10	24990613	2372	#73af42	melanin concentrating hormone receptor 1	180	0	0	0		7	37	-30
RPL3	10	26204996	6398	#73af42	ribosomal protein L3	180	0	0	0		7	37	-30
PDGFB	10	26264832	18309	#73af42	platelet derived growth factor subunit B	180	0	0	0		7	37	-30
APOBEC3Z3	10	26377116	2515	#73af42	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3Z3	180	0	0	0		7	37	-30
APOBEC3Z1	10	10497	4151	#73af42	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3Z1	180	0	0	0		7	37	-30
EIF3L	10	27272520	27067	#73af42	eukaryotic translation initiation factor 3 subunit L	180	0	0	0		7	37	-30
LGALS1	10	27446500	3228	#73af42	galectin 1	180	0	0	0		7	37	-30
LGALS2	10	27526563	3182	#73af42	galectin 2	180	0	0	0		7	37	-30
MIR8828	10	27696436	144	#73af42	microRNA mir-8828	180	0	0	0		7	37	-30
MIR1835	10	27810151	60	#73af42	microRNA mir-1835	180	0	0	0		7	37	-30
SSTR3	10	27843123	1277	#73af42	somatostatin receptor 3	180	0	0	0		7	37	-30
IL2RB	10	27884492	17965	#73af42	interleukin 2 receptor subunit beta	180	0	0	0		7	37	-30
MIR8827	10	28374501	142	#73af42	microRNA mir-8827	180	0	0	0		7	37	-30
MYH9	10	28544285	91355	#73af42	myosin heavy chain 9	180	0	0	0		7	37	-30
HMOX1	10	29255139	6820	#73af42	heme oxygenase 1	180	0	0	0		7	37	-30
TIMP3	10	31209878	54142	#73af42	TIMP metallopeptidase inhibitor 3	180	0	0	0		7	37	-30
TXNRD1	10	34482294	117293	#73af42	thioredoxin reductase 1	180	0	0	0		7	37	-30
MIR8826	10	40946864	96	#73af42	microRNA mir-8826	180	0	0	0		7	37	-30
RFX8	10	42047443	56334	#73af42	regulatory factor X8	180	0	0	0		7	37	-30
RPL31	10	8216191	429	#73af42	ribosomal protein L31	180	0	0	0		7	37	-30
CNGA3	10	44817459	26705	#73af42	cyclic nucleotide gated channel subunit alpha 3	180	0	0	0		7	37	-30
COX5B	10	45567657	6231	#73af42	cytochrome c oxidase subunit 5B	180	0	0	0		7	37	-30
THADA	10	46341623	327448	#73af42	THADA armadillo repeat containing	180	0	0	0		7	37	-30
SLC3A1	10	47287361	35264	#73af42	solute carrier family 3 member 1	180	0	0	0		7	37	-30
STON1	10	51034108	12255	#73af42	stonin 1	180	0	0	0		7	37	-30
GTF2A1L	10	51067592	45020	#73af42	general transcription factor IIA subunit 1 like	180	0	0	0		7	37	-30
ASB3	10	55404712	73984	#73af42	ankyrin repeat and SOCS box containing 3	180	0	0	0		7	37	-30
RPS27A	10	56838149	2396	#73af42	ribosomal protein S27a	180	0	0	0		7	37	-30
MIR217	10	57459123	81	#73af42	microRNA mir-217	180	0	0	0		7	37	-30
MIR216A	10	57465981	104	#73af42	microRNA mir-216a	180	0	0	0		7	37	-30
MIR216B	10	57477457	61	#73af42	microRNA mir-216b	180	0	0	0		7	37	-30
COMMD1	10	62578128	172684	#73af42	copper metabolism domain containing 1	180	0	0	0		7	37	-30
RAB1A	10	65252173	26051	#73af42	RAB1A, member RAS oncogene family	180	0	0	0		7	37	-30
PLEK	10	68098493	25046	#73af42	pleckstrin	180	0	0	0		7	37	-30
ANXA4	10	69173313	33725	#73af42	annexin A4	180	0	0	0		7	37	-30
MIR8865	7	69314116	523771	#73af42	microRNA mir-8865	180	0	0	0		7	37	-30
SNRPG	10	69565521	10333	#73af42	small nuclear ribonucleoprotein polypeptide G	180	0	0	0		7	37	-30
LOC606863	11	443994	1193	#73af42	immunity-related GTPase family M protein-like	180	0	0	0		7	37	-30
IFGGC1	11	751323	11153	#73af42	interferon-inducible GTPase 1-like	180	0	0	0		7	37	-30
IFGGB2	11	781240	4900	#73af42	interferon-inducible GTPase 1-like	180	0	0	0		7	37	-30
MIR340	11	1648417	91	#73af42	microRNA mir-340	180	0	0	0		7	37	-30
CANX	11	1912695	31967	#73af42	calnexin	180	0	0	0		7	37	-30
PROP1	11	2687403	2618	#73af42	PROP paired-like homeobox 1	180	0	0	0		7	37	-30
TICAM2	11	5259716	716	#73af42	toll like receptor adaptor molecule 2	180	0	0	0		7	37	-30
TMED7	11	5289646	14561	#73af42	transmembrane p24 trafficking protein 7	180	0	0	0		7	37	-30
RPL10A	12	4600335	2380	#73af42	ribosomal protein L10a	180	0	0	0		7	37	-30
MIR8830-2	11	13463327	273	#73af42	microRNA mir-8830-2	180	0	0	0		7	37	-30
MIR8830-1	11	13463511	94	#73af42	microRNA mir-8830-1	180	0	0	0		7	37	-30
MIR8830-3	11	13463702	144	#73af42	microRNA mir-8830-3	180	0	0	0		7	37	-30
IL3	11	19835277	2187	#73af42	interleukin 3	180	0	0	0		7	37	-30
CSF2	11	19849460	2294	#73af42	colony stimulating factor 2	180	0	0	0		7	37	-30
IL5	11	20329893	1799	#73af42	interleukin 5	180	0	0	0		7	37	-30
IL13	11	20462871	2927	#73af42	interleukin 13	180	0	0	0		7	37	-30
IL4	11	20477129	8856	#73af42	interleukin 4	180	0	0	0		7	37	-30
GDF9	11	20650008	2867	#73af42	growth differentiation factor 9	180	0	0	0		7	37	-30
HSPA4	11	20814567	47820	#73af42	heat shock protein family A (Hsp70) member 4	180	0	0	0		7	37	-30
SKP1	11	21853772	13855	#73af42	S-phase kinase associated protein 1	180	0	0	0		7	37	-30
PPP2CA	11	21889485	21744	#73af42	protein phosphatase 2 catalytic subunit alpha	180	0	0	0		7	37	-30
MIR874	11	24906934	77	#73af42	microRNA mir-874	180	0	0	0		7	37	-30
SLBP2	11	25499002	3890	#73af42	uncharacterized LOC474694	180	0	0	0		7	37	-30
ETF1	11	13579041	1653	#73af42	eukaryotic translation termination factor 1	180	0	0	0		7	37	-30
MATR3	11	26323723	32118	#73af42	matrin 3	180	0	0	0		7	37	-30
MLANA	11	26467158	12046	#73af42	melan-A	180	0	0	0		7	37	-30
IL33	11	26788250	36877	#73af42	interleukin 33	180	0	0	0		7	37	-30
TYRP1	11	32928733	17814	#73af42	tyrosinase related protein 1	180	0	0	0		7	37	-30
RPS6	11	38787210	3749	#73af42	ribosomal protein S6	180	0	0	0		7	37	-30
MIR491	11	39933678	53	#73af42	microRNA mir-491	180	0	0	0		7	37	-30
IFNB1	11	40302366	560	#73af42	interferon beta 1	180	0	0	0		7	37	-30
IFNA5	11	40363568	562	#73af42	interferon, alpha 5	180	0	0	0		7	37	-30
IFNA6	11	40363568	562	#73af42	interferon, alpha 6	180	0	0	0		7	37	-30
IFNA8	-	40363568	562	#73af42	interferon, alpha 8	180	0	0	0		7	37	-30
IFNA7	11	40476644	563	#73af42	interferon, alpha 7	180	0	0	0		7	37	-30
MIR31	11	40518076	58	#73af42	microRNA mir-31	180	0	0	0		7	37	-30
CDKN2B	11	40873681	3154	#73af42	cyclin dependent kinase inhibitor 2B	180	0	0	0		7	37	-30
MIR8831	11	44503943	144	#73af42	microRNA mir-8831	180	0	0	0		7	37	-30
MIR872	11	44812333	72	#73af42	microRNA mir-872	180	0	0	0		7	37	-30
IFNK	11	45243232	629	#73af42	interferon kappa	180	0	0	0		7	37	-30
MIR876	11	46426054	80	#73af42	microRNA mir-876	180	0	0	0		7	37	-30
NDUFB6	11	49425777	11835	#73af42	NADH:ubiquinone oxidoreductase subunit B6	180	0	0	0		7	37	-30
APTX	11	49716952	10860	#73af42	aprataxin	180	0	0	0		7	37	-30
DNAJA1	11	49759955	11397	#73af42	DnaJ heat shock protein family (Hsp40) member A1	180	0	0	0		7	37	-30
MIR207	11	49760443	68	#73af42	microRNA mir-207	180	0	0	0		7	37	-30
CNTFR	11	50831810	29257	#73af42	ciliary neurotrophic factor receptor	180	0	0	0		7	37	-30
CCL27	11	50938131	700	#73af42	C-C motif chemokine ligand 27	180	0	0	0		7	37	-30
CCL19	11	50960957	1499	#73af42	C-C motif chemokine ligand 19	180	0	0	0		7	37	-30
CCL21	11	50978674	685	#73af42	C-C motif chemokine ligand 21	180	0	0	0		7	37	-30
ARHGEF39	11	51807441	3065	#73af42	Rho guanine nucleotide exchange factor 39	180	0	0	0		7	37	-30
CA9	11	51815201	5602	#73af42	carbonic anhydrase 9	180	0	0	0		7	37	-30
RECK	11	52128385	75676	#73af42	reversion inducing cysteine rich protein with kazal motifs	180	0	0	0		7	37	-30
SEC61B	11	55892012	6500	#73af42	SEC61 translocon subunit beta	180	0	0	0		7	37	-30
INVS	11	56668537	152033	#73af42	inversin	180	0	0	0		7	37	-30
OR13F1B	11	60222585	941	#73af42	olfactory receptor family 13 subfamily F member 1B	180	0	0	0		7	37	-30
OR13C1	11	60283884	962	#73af42	olfactory receptor family 13 subfamily C member 1	180	0	0	0		7	37	-30
MIR32	11	63851642	61	#73af42	microRNA mir-32	180	0	0	0		7	37	-30
PALM2AKAP2	11	64495975	140095	#73af42	PALM2 and AKAP2 fusion	180	0	0	0		7	37	-30
DNAJC25	11	65884617	26965	#73af42	DnaJ heat shock protein family (Hsp40) member C25	180	0	0	0		7	37	-30
GNG10	9	65920726	6539	#73af42	G protein subunit gamma 10	180	0	0	0		7	37	-30
UGCG	11	66089963	33547	#73af42	UDP-glucose ceramide glucosyltransferase	180	0	0	0		7	37	-30
HSDL2	11	66528893	61674	#73af42	hydroxysteroid dehydrogenase like 2	180	0	0	0		7	37	-30
SLC46A2	11	66939761	8288	#73af42	solute carrier family 46 member 2	180	0	0	0		7	37	-30
LOC481674	11	67021221	4496	#73af42	allergen Fel d 4-like	180	0	0	0		7	37	-30
MIR455	11	68101107	57	#73af42	microRNA mir-455	180	0	0	0		7	37	-30
TNC	11	68715128	64996	#73af42	tenascin C	180	0	0	0		7	37	-30
TLR4	11	71012889	10776	#73af42	toll like receptor 4	180	0	0	0		7	37	-30
STOM	11	73914858	25708	#73af42	stomatin	180	0	0	0		7	37	-30
RPP21	12	333230	1752	#73af42	ribonuclease P/MRP subunit p21	180	0	0	0		7	37	-30
DLA88	12	896361	3216	#73af42	MHC class I DLA-88	180	0	0	0		7	37	-30
DLA-12	12	937229	3357	#73af42	MHC class I DLA-12	180	0	0	0		7	37	-30
DLA-64	12	987659	3369	#73af42	MHC class I DLA-64	180	0	0	0		7	37	-30
DDX39B	12	1036642	10389	#73af42	DExD-box helicase 39B	180	0	0	0		7	37	-30
ATP6V1G2	12	1050915	1239	#73af42	ATPase H+ transporting V1 subunit G2	180	0	0	0		7	37	-30
NFKBIL1	12	1053212	8014	#73af42	NFKB inhibitor like 1	180	0	0	0		7	37	-30
LTA	12	1075453	942	#73af42	lymphotoxin alpha	180	0	0	0		7	37	-30
TNF	12	1078543	1864	#73af42	tumor necrosis factor	180	0	0	0		7	37	-30
LTB	12	1083338	1787	#73af42	lymphotoxin beta	180	0	0	0		7	37	-30
LY6G5C	12	1164273	3925	#73af42	lymphocyte antigen 6 family member G5C	180	0	0	0		7	37	-30
CLIC1	12	1214391	5451	#73af42	chloride intracellular channel 1	180	0	0	0		7	37	-30
HSP70	12	1287147	2389	#73af42	heat shock protein 70	180	0	0	0		7	37	-30
CYP21A2	12	1449980	3023	#73af42	cytochrome P450c21	180	0	0	0		7	37	-30
AGER	12	1575531	2855	#73af42	advanced glycosylation end-product specific receptor	180	0	0	0		7	37	-30
DLA-DRA	12	2132677	3548	#73af42	MHC class II DR alpha chain	180	0	0	0		7	37	-30
HLA-DRB1	12	2150930	12581	#73af42	MHC class II DLA DRB1 beta chain	180	0	0	0		7	37	-30
DLA-DQA1	12	2220046	6420	#73af42	major histocompatibility complex, class II, DQ alpha 1	180	0	0	0		7	37	-30
DLA-DQB1	12	2243878	5646	#73af42	major histocompatibility complex, class II, DQ beta 1	180	0	0	0		7	37	-30
DLA-DOB	12	2377490	5618	#73af42	major histocompatibility complex, class II, DO beta	180	0	0	0		7	37	-30
TAP2	12	2406835	9648	#73af42	transporter 2, ATP binding cassette subfamily B member	180	0	0	0		7	37	-30
PSMB8	12	2418542	3376	#73af42	proteasome 20S subunit beta 8	180	0	0	0		7	37	-30
TAP1	12	2423131	8189	#73af42	transporter 1, ATP binding cassette subfamily B member	180	0	0	0		7	37	-30
